GoalName,Target Hours,Frequency,Priority,Tag Mask
Read a book,1,daily,low,reading
Productivity,35,weekly,high,productivity
Go for a walk,1,daily,medium,exercising
Exercise,7,weekly,high,exercising
Cook meals,10,weekly,medium,creativity
Study,15,weekly,high,learning
Practice music,5,weekly,medium,creativity
Call family,1,weekly,low,social
Volunteer,3,weekly,high,social
Play a sport,2,weekly,medium,exercising
Journal,0.5,daily,low,mentalHealth
Spend time outdoors,5,weekly,medium,mentalHealth
Hang with Friends,10,weekly,medium,social
Listen to podcasts,2,weekly,low,learning
Garden,2,weekly,medium,hobby
Learn a language,7,weekly,high,learning
Paint,4,weekly,medium,hobby
Draw,4,weekly,medium,hobby
Write a blog,2,weekly,medium,creativity
Go hiking,4,weekly,medium,exercising
Photography,2,weekly,medium,hobby
Practice public speaking,2,weekly,medium,career
Practice mindfulness,1,daily,low,mentalHealth
Go cycling,3,weekly,medium,exercising
Test a new recipe,2,weekly,medium,creativity
Attend Classes,5,weekly,medium,learning
Eat Healthy,1,daily,high,health
Call friends,4,weekly ,medium,social
Meetings,3,weekly,low,productivity
Spend time with Loved Ones,6,weekly,medium,social
Debate,14,weekly,high,productivity
Relax,7,Week,medium,mentalHealth