Gym,yellow, Exercise,,,,
class,Dark Green, Study, Attend Classes,,,
Work ,Pink, Productivity, Meetings,,,
Hanging with Friends,Purple, Hang with Friends, Relax,Social,,
eating meal,Blue, Eat Healthy, Relax,,,
Drawing,Red, Artistic Work, Draw,,,
Coding,Green, Productivity, Study,,,
Homework,Dark Green, Study, Productivity,,,
Debate,Green, Debate, Practice public speaking,Social,,
Time with Family,Purple, Call family, Spend time with Loved Ones,,,
Scrolling Instagram,Grey, Relax,,,,
Reading Articles,Blue, Read a book, Listen to podcasts,,,
Sleeping,tangerine, Relax, Practice mindfulness,,,
Graphic Design ,Red, Artistic Work, Draw, Paint,,
Walking,Yellow, Exercise, Go for a walk, Spend time outdoors,,
Texting a friend,purple, Call friends, Hang with Friends,Social,,
travelling,yellow, Spend time outdoors,,,,
social event,Purple, Hang with Friends, Relax,Social,,
photoshoot,red, Photography, Artistic Work,Social,,
run,yellow, Exercise, Go for a walk, Practice mindfulness,,
watching TV,grey, Relax,,,,
getting ready,yellow, Meetings,,,,
reading a book,blue, Read a book, Study,,,
meeting,tangerine, Productivity, Attend Classes,,,
editing photos ,red, Photography, Artistic Work,,,
chores,tangerine, Productivity,,,,
backpacking,yellow, Go hiking, Spend time outdoors,Exercise,Social,
reading emails,blue, Productivity, Meetings,reading a book,,
playing a video game,Grey, Relax,,,,
shopping,tangerine, Relax,,,,
cooking,tangerine, Cook meals, Eat Healthy,,,
painting,tangerine, Paint, Artistic Work,,,
building legos,grey, Artistic Work, Relax,,,
went on date,purple, Spend time with Loved Ones,Social,,,
climbing,yellow, Exercise, Go hiking,,,
biking,yellow, Exercise, Go cycling,,,
gardening,green, Garden, Spend time outdoors,,,
studying,Dark Green, Study, Attend Classes,productivity,,
waiting,grey, Relax, Practice mindfulness,,,
Journaling,pink, Journal, Practice mindfulness,,,
playing music,red, Practice music, Relax,artistic work,,
listening to music ,grey, Relax, Practice mindfulness,artistic work,,
fishing,yellow, Relax, Spend time outdoors,,,
sculpting,red, Artistic Work,,,,
knitting ,red, Artistic Work, Relax,,,
Surfing,yellow, Exercise, Spend time outdoors,Social,,
voulenteering ,green, Volunteer,,,,
meditating,pink, Practice mindfulness, Relax,,,
playing chess,green, Relax,productivity,,,
dancing,red, Exercise, Artistic Work,,,
pottery,red, Artistic Work, Relax,,,
swimming,yellow, Exercise,,,,
Wine tasting,purple, Relax, Hang with Friends,Social,,
playing tennis,yellow, Exercise, Play a sport, Hang with Friends,,
homebrewing,purple, Relax,,,,
woodworking,red, Artistic Work, Relax,,,
camping,yellow, Spend time outdoors, Go hiking,exercise, Hang with Friends,Social
ice skating,yellow, Exercise,,,,
going on a date,purple, Spend time with Loved Ones, Relax,Social,,
driving ,yellow, Relax,,,,